Id,Overall Qual,Year Built,Full Bath,Half Bath,Garage Area,Total Bsmt SF,Gr Liv Area,1st Flr SF,2nd Flr SF,SalePrice,FbathxHbath
109,6,1976,2,1,475.0,725.0,1479,725,754,130500,2
544,7,1996,2,1,559.0,913.0,2122,913,1209,220000,2
153,5,1953,1,0,246.0,1057.0,1057,1057,0,109000,0
318,5,2006,2,1,400.0,384.0,1444,744,700,174000,2
255,6,1900,2,0,484.0,676.0,1445,831,614,138500,0
138,6,1966,2,1,578.0,1517.0,1888,1888,0,190000,2
2827,6,2005,2,0,525.0,547.0,1072,1072,0,140000,0
145,5,1959,1,0,531.0,1188.0,1188,1188,0,142000,0
1942,5,1952,1,0,420.0,924.0,924,924,0,112500,0
1956,5,1969,1,2,504.0,1040.0,2080,1040,1040,135000,2
1044,6,1971,1,1,264.0,483.0,987,483,504,85400,1
2752,7,2005,2,0,632.0,1208.0,1208,1208,0,183600,0
807,5,1880,1,0,576.0,0.0,2016,1288,728,131000,0
1177,8,1999,2,1,480.0,960.0,1607,962,645,200000,2
1480,7,2007,2,0,610.0,1351.0,1361,1361,0,193000,0
324,5,2004,2,0,624.0,1430.0,1430,1430,0,173500,0
1311,5,1916,1,0,513.0,624.0,1344,624,720,98000,0
770,5,1963,1,0,480.0,1121.0,1121,1121,0,139000,0
2063,6,1977,1,1,528.0,660.0,1285,1285,0,143500,1
69,7,2009,2,1,614.0,756.0,1547,764,783,215200,2
2062,5,1968,1,0,450.0,894.0,894,894,0,129000,0
351,8,2000,2,0,499.0,1501.0,1659,1659,0,278000,0
2393,8,2005,2,1,575.0,1209.0,2253,1209,1044,344133,2
12,6,1992,2,0,420.0,1168.0,1187,1187,0,185000,0
2339,5,1955,1,0,572.0,1056.0,1056,1056,0,145000,0
624,6,1961,2,0,530.0,1453.0,1453,1453,0,187500,0
86,5,1965,1,0,336.0,894.0,894,894,0,138500,0
1534,5,1937,2,0,240.0,942.0,1938,1265,673,198000,0
2243,5,1895,2,0,0.0,957.0,1991,1034,957,119600,0
1957,5,1949,1,0,576.0,672.0,924,672,252,122900,0
380,8,1981,2,1,542.0,2524.0,2524,2524,0,278000,2
2860,8,1929,1,0,400.0,792.0,1517,792,725,230000,0
2517,8,1995,1,1,481.0,1494.0,1494,1494,0,270000,1
1933,6,1952,1,0,410.0,948.0,948,948,0,125000,0
820,8,2007,2,0,826.0,1705.0,1718,1718,0,297000,0
675,6,1958,1,0,384.0,160.0,1142,1142,0,113500,0
2910,5,1977,2,0,336.0,757.0,1475,925,550,127000,0
21,6,1977,2,0,546.0,1844.0,1844,1844,0,190000,0
1873,7,1973,1,1,528.0,1242.0,1242,1242,0,175500,1
2125,5,1994,1,0,384.0,990.0,990,990,0,146000,0
1489,5,1965,1,1,276.0,1256.0,1256,1256,0,147500,1
2383,10,2006,2,1,850.0,2076.0,2076,2076,0,465000,2
983,5,1978,1,0,602.0,1097.0,1110,1110,0,165500,0
1325,5,1954,2,0,352.0,1050.0,1795,1050,745,131500,0
1378,5,1965,1,0,384.0,1040.0,1040,1040,0,129500,0
1537,8,1935,1,1,786.0,608.0,1873,983,890,257076,1
905,5,1941,2,0,660.0,984.0,1604,984,620,117000,0
1532,7,1931,1,1,270.0,776.0,1502,851,651,149000,1
132,5,1954,1,0,280.0,1056.0,1063,1063,0,128000,0
1078,7,2003,2,1,474.0,764.0,1626,764,862,155000,2
